"","Nest","Site","Bee_ID","Slide_code","Family","Subtype","Count","Pollen_colour","Date_pollen","Num_of_samples","Count_scaled","Num_of_subtypes","Social_status_at_time_con","Social_status_at_time_lib","Social_status_ever_con","Social_status_ever_lib","Richness_nest","Richness_ind","Richness_ind_mean_v1","Richness_ind_mean"
"1","J100","JAM","JAM_W-OWW","J-182","Ranunculaceae","Ranunculus",51,"medium yellow",2025-01-15,2,52,3,"solitary","solitary","solitary","solitary",7,3,3,4.25
"2","J100","JAM","JAM_W-OWW","J-182","Asteraceae","Cichorieae",84,"medium yellow",2025-01-15,2,85,3,"solitary","solitary","solitary","solitary",7,3,3,4.25
"3","J100","JAM","JAM_W-OWW","J-182","Primulaceae","Lysimachia",161,"medium yellow",2025-01-15,2,163,3,"solitary","solitary","solitary","solitary",7,3,3,4.25
"4","J54","JAM","JAM_WWO","J-241","Ranunculaceae","Ranunculus",191,"dark yellow",2024-11-12,1,191,3,"solitary","solitary","solitary","solitary",3,3,3,3
"5","J54","JAM","JAM_WWO","J-241","Caryophyllaceae","Caryophyllaceae",41,"dark yellow",2024-11-12,1,41,3,"solitary","solitary","solitary","solitary",3,3,3,3
"6","J54","JAM","JAM_WWO","J-241","Asteraceae","Asteraceae",68,"dark yellow",2024-11-12,1,68,3,"solitary","solitary","solitary","solitary",3,3,3,3
"7","J91","JAM","JAM_P-OOP-O","J-193","Rosaceae","Rubus",299,"light yellow",2025-01-16,1,300,1,"social","social","social","social",4,1,1,1
"8","J42","JAM","JAM_POO","J-222","Iridaceae","Iridaceae",72,"medium yellow",2024-11-25,4,72,3,"solitary","solitary","solitary","solitary",7,3,3,3.61538461538462
"9","J42","JAM","JAM_POO","J-222","Asteraceae","Asteraceae",220,"medium yellow",2024-11-25,4,221,3,"solitary","solitary","solitary","solitary",7,3,3,3.61538461538462
"10","J42","JAM","JAM_POO","J-222","Ranunculaceae","Ranunculus",6,"medium yellow",2024-11-25,4,6,3,"solitary","solitary","solitary","solitary",7,3,3,3.61538461538462
"11","J58","JAM","JAM_PPW","J-212","Ranunculaceae","Ranunculus",300,"dark yellow",2024-11-12,1,300,1,"solitary","solitary","solitary","solitary",1,1,1,1
"12","K8","KB","KB_WWG","K-167","Unknown_1","Unknown_1",300,"light yellow",2024-12-03,1,300,1,"solitary","solitary","solitary","solitary",1,1,1,1
"13","J67","JAM","JAM_POG","J-159","Plantaginaceae","Plantago",299,"light yellow",2024-11-18,2,300,1,"solitary","solitary","solitary","solitary",2,1,1,1.66666666666667
"14","J71","JAM","JAM_POP","J-196","Myrtaceae","Myrtaceae",299,"light yellow",2024-11-18,2,300,1,"solitary","solitary","solitary","solitary",3,1,1,1.66666666666667
"15","J26","JAM","JAM_OBO-P","J-187","Rosaceae","Pyracantha",300,"light yellow",2024-11-07,2,300,1,"solitary","solitary","solitary","solitary",4,1,1,2.5
"16","J42","JAM","JAM_POO","J-120","Caryophyllaceae","Caryophyllaceae",64,"light yellow",2024-11-12,4,64,3,"solitary","solitary","solitary","solitary",7,3,3,3.61538461538462
"17","J42","JAM","JAM_POO","J-120","Ranunculaceae","Ranunculus",132,"light yellow",2024-11-12,4,132,3,"solitary","solitary","solitary","solitary",7,3,3,3.61538461538462
"18","J42","JAM","JAM_POO","J-120","Asteraceae","Asteraceae",104,"light yellow",2024-11-12,4,104,3,"solitary","solitary","solitary","solitary",7,3,3,3.61538461538462
"19","J18","JAM","JAM_W-WWG","J-291","Plantaginaceae","Plantago",300,"light yellow",2024-11-19,2,300,1,"social","social","social","social",3,1,1,1.66666666666667
"20","J42","JAM","JAM_POO","J-148","Ranunculaceae","Ranunculus",134,"dark yellow",2024-11-07,4,134,2,"solitary","solitary","solitary","solitary",7,2,2,3.61538461538462
"21","J42","JAM","JAM_POO","J-148","Asteraceae","Asteraceae",166,"dark yellow",2024-11-07,4,166,2,"solitary","solitary","solitary","solitary",7,2,2,3.61538461538462
"22","J16","JAM","JAM_PrBP-W","J-149","Ranunculaceae","Ranunculus",279,"medium yellow",2024-11-18,2,281,2,"solitary","solitary","solitary","solitary",2,2,2,1.66666666666667
"23","J16","JAM","JAM_PrBP-W","J-149","Asteraceae","Asteraceae",19,"medium yellow",2024-11-18,2,19,2,"solitary","solitary","solitary","solitary",2,2,2,1.66666666666667
"24","J91","JAM","JAM_W-PWO","J-250","Asteraceae","Cichorieae",105,"medium yellow",2025-01-22,3,105,2,"social","social","social","social",4,2,2,1.5
"25","J91","JAM","JAM_W-PWO","J-250","Plantaginaceae","Plantago",195,"medium yellow",2025-01-22,3,195,2,"social","social","social","social",4,2,2,1.5
"26","J57","JAM","JAM_PPB","J-247","Ranunculaceae","Ranunculus",92,"dark yellow",2024-11-12,2,92,2,"solitary","solitary","solitary","solitary",4,2,2,2
"27","J57","JAM","JAM_PPB","J-247","Asteraceae","Asteraceae",208,"dark yellow",2024-11-12,2,208,2,"solitary","solitary","solitary","solitary",4,2,2,2
"28","J50","JAM","JAM_OOO","J-221","Asteraceae","Asteraceae",300,"light yellow",2024-11-07,3,300,1,"solitary","solitary","solitary","solitary",4,1,1,1.5
"29","J00","JAM","JAM_PiBP","J-213","Brassicaceae","Brassicaceae",80,"dark yellow",2024-12-05,3,81,3,"solitary","solitary","solitary","solitary",5,3,3,2.2
"30","J00","JAM","JAM_PiBP","J-213","Ranunculaceae","Ranunculus",161,"dark yellow",2024-12-05,3,163,3,"solitary","solitary","solitary","solitary",5,3,3,2.2
"31","J00","JAM","JAM_PiBP","J-213","Asteraceae","Asteraceae",55,"dark yellow",2024-12-05,3,56,3,"solitary","solitary","solitary","solitary",5,3,3,2.2
"32","J71","JAM","JAM_POP","J-269","Ranunculaceae","Ranunculus",292,"medium yellow",2024-11-12,2,294,2,"solitary","solitary","solitary","solitary",3,2,2,1.66666666666667
"33","J71","JAM","JAM_POP","J-269","Asteraceae","Asteraceae",6,"medium yellow",2024-11-12,2,6,2,"solitary","solitary","solitary","solitary",3,2,2,1.66666666666667
"34","K11","KB","KB_PWP","K-122","Unknown_1","Unknown_1",300,"light yellow",2024-12-04,1,300,1,"solitary","solitary","solitary","solitary",1,1,1,1
"35","J75","JAM","JAM_BBO","J-150","Asteraceae","Asteraceae",299,"dark yellow",2024-12-05,1,300,1,"solitary","social","solitary","social",1,1,1,1
"36","J92","JAM","JAM_O-OBB","J-226","Asteraceae","Cichorieae",300,"dark yellow",2025-01-28,2,300,1,"social","social","social","social",3,1,1,1.66666666666667
"37","J18","JAM","JAM_W-WWG","J-233","Ranunculaceae","Ranunculus",170,"light yellow",2024-11-25,2,172,2,"social","social","social","social",3,2,2,1.66666666666667
"38","J18","JAM","JAM_W-WWG","J-233","Brassicaceae","Brassicaceae",127,"light yellow",2024-11-25,2,128,2,"social","social","social","social",3,2,2,1.66666666666667
"39","J67","JAM","JAM_POG","J-299","Ranunculaceae","Ranunculus",138,"medium yellow",2024-11-19,2,138,2,"solitary","solitary","solitary","solitary",2,2,2,1.66666666666667
"40","J67","JAM","JAM_POG","J-299","Plantaginaceae","Plantago",161,"medium yellow",2024-11-19,2,162,2,"solitary","solitary","solitary","solitary",2,2,2,1.66666666666667
"41","J87","JAM","JAM_Y-YPP","J-271","Plantaginaceae","Plantago",300,"light yellow",2025-01-07,2,300,1,"social","social","social","social",4,1,1,1
"42","J80","JAM","JAM_WBP","J-143","Ranunculaceae","Ranunculus",8,NA,2024-11-25,1,8,3,"solitary","solitary","solitary","solitary",3,3,3,3
"43","J80","JAM","JAM_WBP","J-143","Gramineae","Gramineae",9,NA,2024-11-25,1,9,3,"solitary","solitary","solitary","solitary",3,3,3,3
"44","J80","JAM","JAM_WBP","J-143","Plantaginaceae","Plantago",283,NA,2024-11-25,1,283,3,"solitary","solitary","solitary","solitary",3,3,3,3
"45","J91","JAM","JAM_W-PWO","J-137","Asteraceae","Cichorieae",300,"dark yellow",2025-01-16,3,300,1,"social","social","social","social",4,1,1,1.5
"46","J87","JAM","JAM_Y-YPP","J-197","Asteraceae","Cichorieae",297,"dark yellow",2025-01-15,2,300,1,"solitary","solitary","social","social",4,1,1,1
"47","J65","JAM","JAM_GOO","J-129","Amaryllidaceae","Amaryllidaceae",300,"dark yellow",2024-11-19,1,300,1,"solitary","solitary","solitary","solitary",1,1,1,1
"48","J42","JAM","JAM_POO","J-235","Brassicaceae","Brassicaceae",231,"medium yellow",2024-11-19,4,231,5,"solitary","solitary","solitary","solitary",7,5,5,3.61538461538462
"49","J42","JAM","JAM_POO","J-235","Asteraceae","Asteraceae",21,"medium yellow",2024-11-19,4,21,5,"solitary","solitary","solitary","solitary",7,5,5,3.61538461538462
"50","J42","JAM","JAM_POO","J-235","Caryophyllaceae","Caryophyllaceae",4,"medium yellow",2024-11-19,4,4,5,"solitary","solitary","solitary","solitary",7,5,5,3.61538461538462
"51","J42","JAM","JAM_POO","J-235","Plantaginaceae","Plantago",15,"medium yellow",2024-11-19,4,15,5,"solitary","solitary","solitary","solitary",7,5,5,3.61538461538462
"52","J51","JAM","JAM_Y-PPY","J-145","Primulaceae","Lysimachia",300,"medium yellow",2025-01-15,2,300,1,"solitary","solitary","solitary","social",1,1,1,1
"53","J26","JAM","JAM_OBO-P","J-116","Asteraceae","Asteraceae",138,"dark yellow",2024-11-18,2,138,3,"solitary","solitary","solitary","solitary",4,3,3,2.5
"54","J26","JAM","JAM_OBO-P","J-116","Ranunculaceae","Ranunculus",91,"dark yellow",2024-11-18,2,91,3,"solitary","solitary","solitary","solitary",4,3,3,2.5
"55","J100","JAM","JAM_W-OWW","J-256","Asteraceae","Asteraceae",57,"dark yellow",2025-02-04,2,57,5,"social","social","social","social",7,5,5,4.25
"56","J100","JAM","JAM_W-OWW","J-256","Ranunculaceae","Ranunculus",123,"dark yellow",2025-02-04,2,123,5,"social","social","social","social",7,5,5,4.25
"57","J100","JAM","JAM_W-OWW","J-256","Brassicaceae","Brassicaceae",8,"dark yellow",2025-02-04,2,8,5,"social","social","social","social",7,5,5,4.25
"58","J100","JAM","JAM_W-OWW","J-256","Plantaginaceae","Plantago",28,"dark yellow",2025-02-04,2,28,5,"social","social","social","social",7,5,5,4.25
"59","J00","JAM","JAM_PiBP","J-130","Unknown_4","Unknown_4",300,"medium yellow",2024-11-12,3,300,1,"solitary","solitary","solitary","solitary",5,1,1,2.2
"60","J32","JAM","JAM_GPP","J-210","Asteraceae","Cichorieae",195,"dark yellow",2025-01-07,1,300,1,"solitary","solitary","solitary","solitary",1,1,1,1
"61","J51","JAM","JAM_Y-PPY","J-208","Primulaceae","Lysimachia",299,"medium yellow",2025-01-16,2,300,1,"solitary","solitary","solitary","social",1,1,1,1
"62","J92","JAM","JAM_O-OBB","J-133","Primulaceae","Lysimachia",228,"medium yellow",2025-02-03,2,228,2,"social","social","social","social",3,2,2,1.66666666666667
"63","J92","JAM","JAM_O-OBB","J-133","Asteraceae","Asteraceae",72,"medium yellow",2025-02-03,2,72,2,"social","social","social","social",3,2,2,1.66666666666667
"64","J87","JAM","JAM_P-PBG","J-113","Rosaceae","Rubus",188,"light yellow",2025-01-07,2,188,2,"social","social","social","social",4,2,2,1.66666666666667
"65","J87","JAM","JAM_P-PBG","J-113","Caprifoliaceae","Leycesteria",112,"light yellow",2025-01-07,2,112,2,"social","social","social","social",4,2,2,1.66666666666667
"66","J57","JAM","JAM_PPB","J-164","Rosaceae","Rubus",118,"medium yellow",2024-12-05,2,118,2,"solitary","solitary","solitary","solitary",4,2,2,2
"67","J57","JAM","JAM_PPB","J-164","Brassicaceae","Brassicaceae",182,"medium yellow",2024-12-05,2,182,2,"solitary","solitary","solitary","solitary",4,2,2,2
"68","J87","JAM","JAM_P-PBG","J-219","Rosaceae","Rubus",299,"light yellow",2025-01-06,2,300,1,"solitary","solitary","solitary","solitary",4,1,1,1.66666666666667
"69","J16","JAM","JAM_PrBP-W","J-255","Asteraceae","Asteraceae",300,"dark yellow",2024-11-25,2,300,1,"solitary","solitary","solitary","solitary",2,1,1,1.66666666666667
"70","J91","JAM","JAM_W-PWO","J-249","Adoxaceae","Viburnum",298,"medium yellow",2025-02-03,3,300,1,"solitary","solitary","social","social",4,1,1,1.5
"71","J50","JAM","JAM_OOO","J-161","Plantaginaceae","Veronica",80,"medium yellow",2024-11-12,3,80,2,"solitary","solitary","solitary","solitary",4,2,2,1.5
"72","J50","JAM","JAM_OOO","J-161","Ranunculaceae","Ranunculus",219,"medium yellow",2024-11-12,3,220,2,"solitary","solitary","solitary","solitary",4,2,2,1.5
"73","J42","JAM","JAM_POO","J-235","Unknown_5","Unknown_5",29,"medium yellow",2024-11-19,4,29,5,"solitary","solitary","solitary","solitary",7,5,5,3.61538461538462
"74","J26","JAM","JAM_OBO-P","J-116","Unknown_6","Unknown_6",70,"dark yellow",2024-11-18,2,70,3,"solitary","solitary","solitary","solitary",4,3,3,2.5
"75","J00","JAM","JAM_PiBP","J-170","Unknown_6","Unknown_6",300,"light yellow",2024-11-07,3,300,1,"solitary","solitary","solitary","solitary",5,1,1,2.2
"76","J50","JAM","JAM_OOO","J-154","Rosaceae","Rosaceae",300,"medium yellow",2024-11-25,3,300,1,"solitary","solitary","solitary","solitary",4,1,1,1.5
"77","J100","JAM","JAM_W-OWW","J-256","Unknown_7","Unknown_7",84,"dark yellow",2025-02-04,2,84,5,"social","social","social","social",7,5,5,4.25
