Date,Marking_code,Nest,Notes
13-Nov,GGG,1,painted wing 
13-Nov,WWW,2,
13-Nov,PPP,3,
13-Nov,PPW,4,
26-Nov,GBG,5,
26-Nov,GGB,6,
26-Nov,WGG,7,looks like WWG
26-Nov,PBB,8,
26-Nov,PPB,9,not flying well
26-Nov,PWP,10,
26-Nov,WPW,11,
26-Nov,GGP,12,
26-Nov,WPP,13,
26-Nov,OOO,14,
03-Dec,GGW,15,
03-Dec,GPP,16,
03-Dec,WWP,17,
03-Dec,WBW,18,
03-Dec,OBO,19,
03-Dec,OBB,20,
03-Dec,WGW,21,
03-Dec,PWW,22,
03-Dec,BBB-W,23,
03-Dec,BBG,24,
18-Dec,OBO,25,
18-Dec,OOB,26,
18-Dec,BOO,27,
18-Dec,OWW,28,
18-Dec,OPO,29,
18-Dec,PBP,30,
17-Jan,O-OGG,31,
17-Jan,O-OOG,23,
17-Jan,P-BBP,33,