"","Site","Subsite","Range","Season","Date","Common_name","Subtype","Family","Abundance_for50","Abundance_for200"
"1","JAM","JAM","50m","early/mid","Dec 2 2024","viburmum (fruiting)","Adoxaceae","Adoxaceae",3,NA
"2","JAM","JAM","50m","early/mid","Nov 27 2024","daisy","Bellis","Asteraceae",5,NA
"3","JAM","JAM","50m","early/mid","Nov 27 2024","cabbage","Brassica","Brassicaceae",1,NA
"4","JAM","JAM","50m","early/mid","Dec 2 2024","honeysuckle","Caprifoliaceae","Caprifoliaceae",2,NA
"5","JAM","JAM","50m","early/mid","Nov 27 2024","sheperd's purses","Capsella","Brassicaceae",5,NA
"6","JAM","JAM","50m","early/mid","Nov 27 2024","peppers","Capsicum","Solanaceae",1,NA
"7","JAM","JAM","50m","early/mid","Nov 27 2024",NA,"Carmichaelia","Fabaceae",3,NA
"8","JAM","JAM","50m","early/mid","Nov 27 2024","chickweed","Cerastium","Caryophyllaceae",4,NA
"9","JAM","JAM","50m","early/mid","Nov 27 2024","dandelion","Cichorieae","Asteraceae",4,NA
"10","JAM","JAM","50m","early/mid","Nov 27 2024",NA,"Corokia","Argophyllaceae",2,NA
"11","JAM","JAM","50m","early/mid","Nov 27 2024","willowherbs","Epilobium","Onograceae",1,NA
"12","JAM","JAM","50m","early/mid","Nov 27 2024","stork bill","Erodium","Geraniaceae",2,NA
"13","JAM","JAM","50m","early/mid","Nov 27 2024","spindle","Euonymus","Celastraceae",3,NA
"14","JAM","JAM","50m","early/mid","Nov 27 2024","strawberry","Fragaria","Rosaceae",2,NA
"15","JAM","JAM","50m","early/mid","Nov 27 2024","tea tree manuka","Leptospermum","Myrtaceae",2,NA
"16","JAM","JAM","50m","early/mid","Nov 27 2024","honeysuckle","Leycesteria","Caprifoliaceae",2,NA
"17","JAM","JAM","50m","early/mid","Nov 27 2024",NA,"Lysimachia","Primulaceae",2,NA
"18","JAM","JAM","50m","early/mid","Nov 27 2024",NA,"Ozothamnus","Asteraceae",2,NA
"19","JAM","JAM","50m","early/mid","Nov 27 2024","flax","Phormium","Asphodelaceae",2,NA
"20","JAM","JAM","50m","early/mid","Dec 2 2024","plaintain grass","Plantago","Plantaginaceae",5,NA
"21","JAM","JAM","50m","early/mid","Nov 27 2024","buttercup","Ranunculus","Ranunculaceae",5,NA
"22","JAM","JAM","50m","early/mid","Nov 27 2024","brambles","Rubus","Rosaceae",2,NA
"23","JAM","JAM","50m","early/mid","Nov 27 2024","trefoil","Trifolium","Fabaceae",3,NA
"24","JAM","JAM","50m","early/mid","Nov 27 2024","speedwells","Veronica","Plantaginaceae",4,NA
"25","KB","Janice's","50m","early/mid","Dec 4 2024","biddy-biddy","Acaena","Rosaceae",1,NA
"26","KB","Janice's","50m","early/mid","Dec 4 2024","shepard's purse","Capsella","Brassicaceae",3,NA
"27","KB","Janice's","50m","early/mid","Dec 4 2024","bittercresses","Cardamine","Brassicaceae",2,NA
"28","KB","Janice's","50m","early/mid","Dec 4 2024","mouse-ear chickweed","Cerastium","Caryophyllaceae",5,NA
"29","KB","Janice's","50m","early/mid","Dec 4 2024","dandelion","Cichorieae","Asteraceae",4,NA
"30","KB","Janice's","50m","early/mid","Dec 4 2024","cabbage tree","Cordyline","Asparagaceae",2,NA
"31","KB","Janice's","50m","early/mid","Dec 4 2024","hawksbeard","Crepis","Asteraceae",3,NA
"32","KB","Janice's","50m","early/mid","Dec 4 2024","kotukutuku","Fuchsia","Onagraceae",3,NA
"33","KB","Janice's","50m","early/mid","Dec 4 2024","poppies","Fumaria","Papaveraceae",1,NA
"34","KB","Janice's","50m","early/mid","Dec 4 2024","konuka","Kunzea","Myrtaceae",2,NA
"35","KB","Janice's","50m","early/mid","Dec 4 2024","mustards","Lepidium","Brassicaceae",2,NA
"36","KB","Janice's","50m","early/mid","Dec 4 2024","pale flax","Linum","Linaceae",4,NA
"37","KB","Janice's","50m","early/mid","Dec 4 2024","primroses","Lysimachia","Primulaceae",4,NA
"38","KB","Janice's","50m","early/mid","Dec 4 2024","mohoe","Melicytus","Violaceae",4,NA
"39","KB","Janice's","50m","early/mid","Dec 4 2024","pohuehue","Muehlenbeckia","Polygonaceae",4,NA
"40","KB","Janice's","50m","early/mid","Dec 4 2024","forget-me-not","Myosotis","Boraginaceae",3,NA
"41","KB","Janice's","50m","early/mid","Dec 4 2024","watercresses","Nasturtium","Tropaeolaceae",1,NA
"42","KB","Janice's","50m","early/mid","Dec 4 2024","common broomrape","Orobanche","Orobanchaceae",3,NA
"43","KB","Janice's","50m","early/mid","Dec 4 2024","plantain grass","Plantago","Plantaginaceae",5,NA
"44","KB","Janice's","50m","early/mid","Dec 4 2024","buttercup","Ranunculus","Ranunculaceae",5,NA
"45","KB","Janice's","50m","early/mid","Dec 4 2024","elderberry","Sambucus","Adoxaceae",2,NA
"46","KB","Janice's","50m","early/mid","Dec 4 2024","nightshades","Solanum","Solanaceae",3,NA
"47","KB","Janice's","50m","early/mid","Dec 4 2024","daisies","Sonchus","Asteraceae",3,NA
"48","KB","Janice's","50m","early/mid","Dec 4 2024","clover","Trifolium","Fabaceae",5,NA
"49","KB","Janice's","50m","early/mid","Dec 4 2024","gorse","Ulex","Fabaceae",2,NA
"50","KB","Janice's","50m","early/mid","Dec 4 2024","veronicas","Veronica","Plantaginaceae",1,NA
"51","KB","Janice's","50m","early/mid","Dec 4 2024","common vetch","Vicia","Fabaceae",2,NA
"52","JAM","JAM","50m","late","Jan 21 2025",NA,"Abelia","Caprifoliaceae",2,NA
"53","JAM","JAM","50m","late","Jan 21 2025","daisy","Bellis","Asteraceae",4,NA
"54","JAM","JAM","50m","late","Jan 21 2025","peppers","Capsicum","Solanaceae",1,NA
"55","JAM","JAM","50m","late","Jan 21 2025","snow in summer","Cerastium","Caryophyllaceae",1,NA
"56","JAM","JAM","50m","late","Jan 21 2025","Dandelion","Cichorieae","Asteraceae",4,NA
"57","JAM","JAM","50m","late","Jan 21 2025",NA,"Citrus","Rutaceae",1,NA
"58","JAM","JAM","50m","late","Jan 21 2025","hawksbeard","Crepis","Asteraceae",1,NA
"59","JAM","JAM","50m","late","Jan 21 2025","cucumber","Cucumis","Cucurbitaceae",1,NA
"60","JAM","JAM","50m","late","Jan 21 2025","sqaush","Cucurbita","Cucurbitaceae",1,NA
"61","JAM","JAM","50m","late","Jan 21 2025","dahlia","Dahlia","Asteraceae",1,NA
"62","JAM","JAM","50m","late","Jan 21 2025","willow herb","Epilobium","Onograceae",3,NA
"63","JAM","JAM","50m","late","Jan 21 2025","strawberry","Fragaria","Rosaceae",1,NA
"64","JAM","JAM","50m","late","Jan 21 2025","gladioli","Gladiolus","Iridaceae",1,NA
"65","JAM","JAM","50m","late","Jan 21 2025","dead-nettles","Lamium","Lamiaceae",1,NA
"66","JAM","JAM","50m","late","Jan 21 2025","honeysuckle","Leycesteria","Caprifoliaceae",3,NA
"67","JAM","JAM","50m","late","Jan 21 2025","lily","Lilium","Liliaceae",1,NA
"68","JAM","JAM","50m","late","Jan 21 2025",NA,"Lysimachia","Primulaceae",2,NA
"69","JAM","JAM","50m","late","Jan 21 2025","feijoa","Myrtle","Myrtaceae",2,NA
"70","JAM","JAM","50m","late","Jan 21 2025",NA,"Ozothamnus","Asteraceae",2,NA
"71","JAM","JAM","50m","late","Jan 21 2025","knotweeds","Persicaria","Polygonaceae",1,NA
"72","JAM","JAM","50m","late","Jan 21 2025","beans","Phaseolus","Fabaceae",1,NA
"73","JAM","JAM","50m","late","Jan 21 2025","peas","Pisum","Fabaceae",1,NA
"74","JAM","JAM","50m","late","Jan 21 2025","grass","Plantago","Plantaginaceae",5,NA
"75","JAM","JAM","50m","late","Jan 21 2025","woundwart","Prunella","Lamiaceae",3,NA
"76","JAM","JAM","50m","late","Jan 21 2025","buttercup","Ranunculus","Ranunculaceae",2,NA
"77","JAM","JAM","50m","late","Jan 21 2025","brambles","Rubus","Rosaceae",2,NA
"78","JAM","JAM","50m","late","Feb 4 2025","pearlworts","Sagina","Caryophyllaceae",2,NA
"79","JAM","JAM","50m","late","Jan 21 2025","hedgemustards","Sisybrium","Brassicaceae",1,NA
"80","JAM","JAM","50m","late","Jan 21 2025","tomatoes","Solanum","Solanaceae",1,NA
"81","JAM","JAM","50m","late","Jan 21 2025","sow thistles","Sonchus","Asteraceae",1,NA
"82","JAM","JAM","50m","late","Jan 21 2025","trefoil","Trifolium","Fabaceae",5,NA
"83","JAM","JAM","50m","late","Jan 21 2025","nasturtium","Tropaeolum","Tropaeolaceae",1,NA
"84","JAM","JAM","50m","late","Jan 21 2025","speedwell","Veronica","Plantaginaceae",2,NA
"85","JAM","JAM","50m","late","Jan 21 2025",NA,"Viburnum","Adoxaceae",1,NA
"86","KB","Janice's","50m","late","Jan 29 2025",NA,"Bellardia","Orobanchaceae",2,NA
"87","KB","Janice's","50m","late","Jan 29 2025","dandelion","Cichorieae","Asteraceae",5,NA
"88","KB","Janice's","50m","late","Jan 29 2025","thistle","Cirsium","Asteraceae",4,NA
"89","KB","Janice's","50m","late","Jan 29 2025","hawksbeard","Crepis","Asteraceae",5,NA
"90","KB","Janice's","50m","late","Jan 29 2025","flea bane","Erigeron","Asteraceae",1,NA
"91","KB","Janice's","50m","late","Jan 29 2025","monkey flower","Erythranthe","Phrymaceae",1,NA
"92","KB","Janice's","50m","late","Jan 29 2025","flax","Linum","Linaceae",2,NA
"93","KB","Janice's","50m","late","Jan 29 2025","loosestrife","Lysimachia","Primulaceae",3,NA
"94","KB","Janice's","50m","late","Jan 29 2025","forget-me-not","Myosotis","Boraginaceae",1,NA
"95","KB","Janice's","50m","late","Jan 29 2025","grass","Plantago","Plantaginaceae",5,NA
"96","KB","Janice's","50m","late","Jan 29 2025","buttercup","Ranunculus","Ranunculaceae",2,NA
"97","KB","Janice's","50m","late","Jan 29 2025","nightshade","Solanum","Solanaceae",2,NA
"98","KB","Janice's","50m","late","Jan 29 2025","sow thistles","Sonchus","Asteraceae",3,NA
"99","KB","Janice's","50m","late","Jan 29 2025","chickweed","Stellaria","Caryophyllaceae",2,NA
"100","KB","Janice's","50m","late","Jan 29 2025","clover","Trifolium","Fabaceae",4,NA
"101","KB","Janice's","50m","late","Jan 29 2025","nasturtium","Tropaeolum","Tropaeolaceae",2,NA
"102","KB","Janice's","50m","late","Jan 29 2025","vetch","Vicia","Fabaceae",1,NA
"103","JAM","JAM","50m","early/mid","Dec 2 2024","viburmum (fruiting)","Adoxaceae","Adoxaceae",NA,2
"104","JAM","67 tirohanga","200m","early/mid","Dec 5 2024","lily of the nile","Agapanthus","Amaryllidaceae",NA,1
"105","JAM","67 tirohanga","200m","early/mid","Dec 5 2024","Lady's Mantle","Alchemilla","Rosaceae",NA,2
"106","JAM","JAM yard","200m","early/mid","Nov 27 2024","onions","Allium","Amaryllidaceae",NA,1
"107","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","peruvian lily","Alstroemeria","Alstroemeriaceae",NA,3
"108","JAM","Allen and Liz","200m","early/mid","Dec 12 2024","peruvian lilies","Alstromeria","Alstromeriaceae",NA,2
"109","JAM","JAM yard","200m","early/mid","Nov 27 2024","camomile","Anthemis","Asteraceae",NA,1
"110","JAM","Ruth","200m","early/mid","Dec 17 2024","columbine","Aquilegia","Ranunculaceae",NA,2
"111","JAM","93 tirohanga","200m","early/mid","Nov 28 2024","mouse ear cress","Arabidopsis","Brassicaceae",NA,2
"112","JAM","92 tirohanga","200m","early/mid","Nov 28 2024","yarrow","Archillea","Asteraceae",NA,2
"113","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","thrift","Armeria","Plumbaginaceae",NA,2
"114","JAM","67 tirohanga","200m","early/mid","Dec 5 2024","flax","Astelia","Asteliaceae",NA,1
"115","JAM","Ruth","200m","early/mid","Dec 17 2024","great masterwort","Astrantia","Apiaceae",NA,1
"116","JAM","65 Tirohanga","200m","early/mid","Dec 19 2024","Trixago","Bellardia","Orobanchaceae",NA,1
"117","JAM","JAM","50m","early/mid","Nov 27 2024","daisy","Bellis","Asteraceae",NA,5
"118","JAM","Ruth","200m","early/mid","Dec 17 2024","borage","Borago","Boraginaceae",NA,2
"119","JAM","JAM","50m","early/mid","Nov 27 2024","cabbage","Brassica","Brassicaceae",NA,1
"120","JAM","Ruth","200m","early/mid","Dec 17 2024","marigold","Caledula","Asteraceae",NA,1
"121","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","false bindweeds","Calystegia","Convolvulaceae",NA,1
"122","JAM","67 tirohanga","200m","early/mid","Dec 5 2024","Camellia","Camellia","Theaceae",NA,1
"123","JAM","JAM","50m","early/mid","Dec 2 2024","honeysuckle","Caprifoliaceae","Caprifoliaceae",NA,1
"124","JAM","JAM","50m","early/mid","Nov 27 2024","sheperd's purses","Capsella","Brassicaceae",NA,5
"125","JAM","JAM","50m","early/mid","Nov 27 2024","peppers","Capsicum","Solanaceae",NA,1
"126","JAM","JAM","50m","early/mid","Nov 27 2024",NA,"Carmichaelia","Fabaceae",NA,2
"127","JAM","87 tirohanga","200m","early/mid","Dec 2 2024","california lilac","Ceanothus","Rhamnaceae",NA,1
"128","JAM","JAM yard","200m","early/mid","Nov 27 2024","chickweed","Cerastium","Caryophyllaceae",NA,5
"129","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","flowering quinces","Chaenomeles","Rosaceae",NA,1
"130","JAM","90 tirohanga","200m","early/mid","Nov 28 2024","mexican orange","Choisya","Rutaceae",NA,3
"131","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","chrysanthemums","Chrysanthemum","Asteraceae",NA,1
"132","JAM","JAM yard","200m","early/mid","Nov 27 2024","dandelion","Cichorieae","Asteraceae",NA,4
"133","JAM","67 tirohanga","200m","early/mid","Dec 5 2024","rock rose","Cistus","Cistaceae",NA,2
"134","JAM","JAM yard","200m","early/mid","Nov 27 2024","lemons","Citrus","Rutaceae",NA,1
"135","JAM","87 tirohanga","200m","early/mid","Dec 2 2024","Cape may","Coleonema","Rutaceae",NA,1
"136","JAM","67 tirohanga","200m","early/mid","Dec 5 2024","cabbage tree","Cordyline","Asparagaceae",NA,1
"137","JAM","JAM yard","200m","early/mid","Nov 27 2024",NA,"Corokia","Argophyllaceae",NA,3
"138","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","smoketrees","Cotinus","Anacardiaceae",NA,2
"139","JAM","Allen and Liz","200m","early/mid","Dec 12 2024","smooth hawksbeard","Crepis","Asteraceae",NA,2
"140","JAM","Lynn + Road","200m","early/mid","Dec 12 2024",NA,"Croceae","Iridaceae",NA,1
"141","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","garden delphinium","Delphinium","Ranunculaceae",NA,1
"142","JAM","Lynn + Road","200m","early/mid","Dec 12 2024",NA,"Deutzia","Hydrangeaceae",NA,1
"143","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","carnations","Dianthus","Caryophyllaceae",NA,1
"144","JAM","87 tirohanga","200m","early/mid","Dec 2 2024","foxgloves","Digitalis","Plantaginaceae",NA,2
"145","JAM","Ruth","200m","early/mid","Dec 17 2024",NA,"Echeveria","Crassulaceae",NA,2
"146","JAM","JAM yard","200m","early/mid","Nov 27 2024","willowherbs","Epilobium","Onagraceae",NA,2
"147","JAM","JAM yard","200m","early/mid","Nov 27 2024","storks bill","Erodium","Geraniaceae",NA,2
"148","JAM","87 tirohanga","200m","early/mid","Dec 2 2024","redclaws","Escallonia","Escalloniaceae",NA,2
"149","JAM","79 tirohanga","200m","early/mid","Nov 28 2024","poppy","Eschscholzia","Papaveraceae",NA,2
"150","JAM","JAM","50m","early/mid","Nov 27 2024","spindle","Euonymus","Celastraceae",NA,2
"151","JAM","Allen and Liz","200m","early/mid","Dec 12 2024","eggleaf spurfe","Euphorbia","Euphorbiaceae",NA,1
"152","JAM","JAM yard","200m","early/mid","Nov 27 2024","feijoa","Feijoa","Myrtaceae",NA,1
"153","JAM","83 tirohanga","200m","early/mid","Nov 28 2024","fennel","Foeniculum","Apiaceae",NA,1
"154","JAM","JAM","50m","early/mid","Nov 27 2024","strawberry","Fragaria","Rosaceae",NA,1
"155","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","ashes","Fraxinus","Oleaceae",NA,1
"156","JAM","87 tirohanga","200m","early/mid","Dec 2 2024","fumitory","Fumaria","Papaveraceae",NA,1
"157","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","catchweed bedstraw","Galium","Rubiaceae",NA,1
"158","JAM","Ruth","200m","early/mid","Dec 17 2024","geraniums","Geranium","Geraniaceae",NA,2
"159","JAM","87 tirohanga","200m","early/mid","Dec 2 2024","gromwell","Glendora","Boraginaceae",NA,1
"160","JAM","67 tirohanga","200m","early/mid","Dec 5 2024","coral bells","Heuctera","Saxifragaceae",NA,1
"161","JAM","Ruth","200m","early/mid","Dec 17 2024","hostas","Hosta","Asparagaceae",NA,1
"162","JAM","Ruth","200m","early/mid","Dec 17 2024","hydrangea","Hydrangeas","Hydrangeaceae",NA,2
"163","JAM","67 tirohanga","200m","early/mid","Dec 5 2024","stonecrop","Hylotelephium","Crassulaceae",NA,1
"164","JAM","67 tirohanga","200m","early/mid","Dec 5 2024","iris","Iris","Idrisaceae",NA,1
"165","JAM","Lynn + Road","200m","early/mid","Dec 12 2024",NA,"Kalmia","Ericaceae",NA,3
"166","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","pokers","Kniphofia","Asphodelaceae",NA,1
"167","JAM","87 tirohanga","200m","early/mid","Dec 2 2024","dead nettles","Lamium","Lamiaceae",NA,1
"168","JAM","JAM yard","200m","early/mid","Nov 27 2024","lavender","Lavendula","Lamiaceae",NA,2
"169","JAM","Allen and Liz","200m","early/mid","Dec 12 2024","peppergrass","Lepedium","Brassicaceae",NA,1
"170","JAM","JAM yard","200m","early/mid","Nov 27 2024","tea tree manuka","Leptospermum","Myrtaceae",NA,2
"171","JAM","Ruth","200m","early/mid","Dec 17 2024","oxeye daisy","Leucanthemum","Asteraceae",NA,2
"172","JAM","Lynn + Road","200m","early/mid","Dec 12 2024",NA,"Lewisia","Montiaceae",NA,1
"173","JAM","JAM","50m","early/mid","Nov 27 2024","honeysuckle","Leycesteria","Caprifoliaceae",NA,1
"174","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","privets","Ligustrum","Oleaceae",NA,1
"175","JAM","67 tirohanga","200m","early/mid","Dec 5 2024","lily","Lilium","Liliaceae",NA,1
"176","JAM","JAM yard","200m","early/mid","Nov 27 2024","meadowfoam","Limnanthes","Limnanthaceae",NA,1
"177","JAM","Ruth","200m","early/mid","Dec 17 2024","annual toadflax","Linaria","Plantaginaceae",NA,1
"178","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","sweet alyssum","Lobularia","Brassicaceae",NA,1
"179","JAM","67 tirohanga","200m","early/mid","Dec 5 2024","pincushion","Lomelosia","Caprifoliaceae",NA,1
"180","JAM","JAM yard","200m","early/mid","Nov 27 2024",NA,"Lysimachia","Primulaceae",NA,2
"181","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","common mallow","Malva","Malvaceae",NA,1
"182","JAM","65 Tirohanga","200m","early/mid","Dec 19 2024","wall lettuce","Mycelis","Asteraceae",NA,1
"183","JAM","87 tirohanga","200m","early/mid","Dec 2 2024","forget-me-nots","Myosotis","Boraginaceae",NA,2
"184","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","myrtle","Myrtus","Myrtaceae",NA,1
"185","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","waterlilies","Nymphaea","Nymphaeaceae",NA,1
"186","JAM","89 tirohanga","200m","early/mid","Nov 28 2024","basil","Ocimum","Lamiaceae",NA,1
"187","JAM","JAM","50m","early/mid","Nov 27 2024",NA,"Ozothamnus","Asteraceae",NA,1
"188","JAM","67 tirohanga","200m","early/mid","Dec 5 2024","boxwood","Pachyslegia","Asteraceae",NA,1
"189","JAM","87 tirohanga","200m","early/mid","Nov 28 2024","peony","Paeonia","Paeoniaceae",NA,1
"190","JAM","87 tirohanga","200m","early/mid","Dec 2 2024","poppy","Papaver","Papaveraceae",NA,1
"191","JAM","Ruth","200m","early/mid","Dec 17 2024","geraniums","Pelargonium","Geraniaceae",NA,1
"192","JAM","65 Tirohanga","200m","early/mid","Dec 19 2024","beardtongue","Penstemon","Plantaginaceae",NA,1
"193","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","knotweeds","Persicaria","Polygonaceae",NA,1
"194","JAM","Ruth","200m","early/mid","Dec 17 2024","lacy phacelia","Phacelia","Boraginaceae",NA,1
"195","JAM","Ruth","200m","early/mid","Dec 17 2024","lampwicks","Phlomis","Lamiaceae",NA,2
"196","JAM","JAM yard","200m","early/mid","Nov 27 2024","flax","Phormium","Asphodelaceae",NA,2
"197","JAM","JAM","50m","early/mid","Dec 2 2024","plaintain grass","Plantago","Plantaginaceae",NA,5
"198","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","primroses","Primula","Primulaceae",NA,1
"199","JAM","JAM yard","200m","early/mid","Nov 27 2024",NA,"Prunus","Rosaceae",NA,1
"200","JAM","87 tirohanga","200m","early/mid","Dec 2 2024","firethorns","Pyracantha","Rosaceae",NA,2
"201","JAM","JAM","50m","early/mid","Nov 27 2024","buttercup","Ranunculus","Ranunculaceae",NA,5
"202","JAM","67 tirohanga","200m","early/mid","Dec 5 2024","radish","Raphanus","Brassicaceae",NA,1
"203","JAM","67 tirohanga","200m","early/mid","Dec 5 2024","Rhododendron/azelea","Rhododendron","Ericaceae",NA,1
"204","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","roses","Rosa","Rosaceae",NA,3
"205","JAM","JAM","50m","early/mid","Nov 27 2024","brambles","Rubus","Rosaceae",NA,1
"206","JAM","85 tirohanga","200m","early/mid","Nov 28 2024","rosemary","Salvia","Lamiaceae",NA,1
"207","JAM","77 tirohanga","200m","early/mid","Dec 2 2024","elderberry","Sambucus","Adoxaceae",NA,2
"208","JAM","Ruth","200m","early/mid","Dec 17 2024",NA,"Scilloideae","Asparagaceae",NA,1
"209","JAM","81 tirohanga","200m","early/mid","Nov 28 2024","groundsel","Senecio","Asteraceae",NA,1
"210","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","field madder","Sherardia","Rubiaceae",NA,1
"211","JAM","87 tirohanga","200m","early/mid","Dec 2 2024","rose campion","Silene","Caryophyllaceae",NA,2
"212","JAM","77 tirohanga","200m","early/mid","Dec 2 2024","mustard","Sisybrium","Brassicaceae",NA,1
"213","JAM","65 Tirohanga","200m","early/mid","Dec 19 2024","hedge mustard","Sisymbrium","Brassicaceae",NA,2
"214","JAM","Ruth","200m","early/mid","Dec 17 2024","pale yellow-eyed grass","Sisyrinchium","Iridaceae",NA,2
"215","JAM","87 tirohanga","200m","early/mid","Dec 2 2024","nightshade","Solanum","Solanaceae",NA,1
"216","JAM","77 tirohanga","200m","early/mid","Dec 2 2024","sow thistles","Sonchus","Asteraceae",NA,3
"217","JAM","Allen and Liz","200m","early/mid","Dec 12 2024","spurry","Spergula","Caryophyllaceae",NA,1
"218","JAM","91 tirohanga","200m","early/mid","Nov 28 2024","spurry","Spergularia","Caryophyllaceae",NA,1
"219","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","hegdenettles","Stachys","Lamiaceae",NA,1
"220","JAM","Ruth","200m","early/mid","Dec 17 2024","comfrey","Symphytum","Boraginaceae",NA,1
"221","JAM","Lynn + Road","200m","early/mid","Dec 12 2024","mexican marigold","Tagetes","Asteraceae",NA,1
"222","JAM","87 tirohanga","200m","early/mid","Dec 2 2024","germanders","Teucrium","Lamiaceae",NA,2
"223","JAM","84 tirohanga","200m","early/mid","Nov 28 2024","thyme","Thymus","Lamiaceae",NA,1
